
#The following shows the html-tag count of u01_A0.xml:
<itype>	=> 175
<milestone>	=> 453
<orth>	=> 1090
<pb>	=> 36
<quote>	=> 30
<text>	=> 1

#The following shows the character count of u03_t0.xml:
Character	NL	=> 9506
Character	SP	=> 75611
Character	!	=> 13
